option,value
version,3.5.593.3968
DOI,10.5281/zenodo.7040586
date,9/1/2022
new,在质谱成像预览器中添加组织形态学图像重叠。
new,添加组织形态图编辑器功能，以创建自定义组织区域进行数据分析。
new,添加HE染色图像分析模块。
new,为打开Microsoft excel表文件添加一个新的通用表数据预览器。
new,基于表预览器内容的绘图数据添加一个通用的数据可视化模块。
new,新增用于数据可视化流程的ggplot包。
enhancement,增加数据可视化模板用于质谱成像绘图的渲染。
enhancement,支持多样本质谱成像数据预览。
enhancement,增加在线pubchem代谢物数据库查询功能，用于质谱成像原始数据中的离子特征搜寻。
enhancement,新增兼容bruker SCiLS lab软件数据。
enhancement,优化一级质谱峰列表注释功能。
enhancement,更新内部代谢物数据库，从KEGG扩展至KEGG/lipidmaps/chebi。
enhancement,新增分子网络预览器互动功能。
enhancement,在原始数据预览器中添加一级质谱峰解卷积功能。
enhancement,在通用信号数据分析中增加查找峰分析功能。
enhancement,新的软件下载体验。
enhancement,将内部Rstudio运行环境从.NET4.8升级到.NET6.0。
enhancement,添加mzwork项目文件，用于在设备之间分享工作空间。
enhancement,优化MRM/GCMS靶向数据预览器。
fixed,添加安装内部Rstudio环境的修复脚本。
fixed,更新mzPack格式至2.0版本，优化单样本数据与多样本数据的兼容性。
fixed,修复了原始数据图预览器的样式调整bug
fixed,解决原始数据文件路径为windows UNC路径时的数据串行错误
